index,Opening,Opening Category,Opening Sub-Category,Sub-Category Score,Category Score,Difference
1901249,King's Pawn,King's Pawn,,0.9457547169811321,0.9457547169811321,0.0
1964259,"Queen's Indian Defense: Classical Variation, Polugaevsky Gambit",Queen's Indian Defense," Classical Variation, Polugaevsky Gambit",0.8571428571428571,-0.03280224929709466,0.8899451064399517
866337,"Philidor Defense: Lion Variation, Bishop Sacrifice",Philidor Defense," Lion Variation, Bishop Sacrifice",0.8181818181818182,0.12452173341872341,0.6936600847630948
1754709,Polish Opening: Wolferts Gambit,Polish Opening, Wolferts Gambit,0.8,0.031218344230592134,0.7687816557694079
136548,French Defense: Franco-Hiva Gambit I Accepted,French Defense, Franco-Hiva Gambit I Accepted,0.7857142857142857,-0.001258634820278656,0.7869729205345644
1650759,Ruy Lopez: Retreat Variation,Ruy Lopez, Retreat Variation,0.7777777777777778,0.07842768035777334,0.6993500974200044
1562791,Zukertort Opening: The Potato,Zukertort Opening, The Potato,0.7777777777777778,0.08458849534776126,0.6931892824300165
1972145,Goldsmith Defense: Picklepuss Defense,Goldsmith Defense, Picklepuss Defense,0.7647058823529411,0.2690019828155982,0.49570389953734295
1964794,"Pterodactyl Defense: Central, Benoni Beefeater Pterodactyl",Pterodactyl Defense," Central, Benoni Beefeater Pterodactyl",0.75,-0.03219315895372234,0.7821931589537223
1398864,"Queen's Gambit Declined: Tarrasch Defense, Pseudo-Tarrasch Bishop Attack",Queen's Gambit Declined," Tarrasch Defense, Pseudo-Tarrasch Bishop Attack",0.75,0.09342300002596526,0.6565769999740347
1588948,Mieses Opening: Myers Spike Attack,Mieses Opening, Myers Spike Attack,0.75,-0.045500930427996876,0.7955009304279969
1036454,"Dutch Defense: Staunton Gambit, Lasker Variation",Dutch Defense," Staunton Gambit, Lasker Variation",0.75,0.02104436592069101,0.728955634079309
1999486,Zukertort Defense: Sicilian Knight Variation,Zukertort Defense, Sicilian Knight Variation,0.7142857142857143,0.5454545454545454,0.1688311688311689
486316,"Sicilian Defense: Scheveningen, Classical Main Line",Sicilian Defense," Scheveningen, Classical Main Line",0.7142857142857143,-0.03165774109814676,0.7459434553838611
1470322,Queen's Gambit Refused: Zilbermints Gambit,Queen's Gambit Refused, Zilbermints Gambit,0.7,0.15286309106649626,0.5471369089335036
1245887,Modern Defense: Fianchetto Gambit,Modern Defense, Fianchetto Gambit,0.6774193548387096,0.012958833102284371,0.6644605217364252
